Column1|CUSEC=poblacion(4)+distrito(2)+mesa(3)|VotosObtenidos|Unnamed: 0|VotosCandidaturas|VotosBlanco|VotosNulos|codigo_prov|codigo_mun|distrito|Comunidad autónoma|Provincia|Código de provincia|Municipio|Código de municipio|Tipo de elemento|Renta media por persona|Renta media por hogar|%FO|VotosObtenidosPSOE|%PSOE|Poblacion_es|%FO_distritos|renta|fecha|elecciones
3888|0801507009|0|3888|735|14|7|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|9423.0|25812.0|0|365|49.66|188291|0.29|mid_income|2023-07-23|generales
3889|0801507010|0|3889|302|1|0|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|9091.0|24870.0|0|141|46.69|188291|0.29|mid_income|2023-07-23|generales
3890|0801507011|6|3890|913|7|3|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|9981.0|25194.0|0.66|406|44.47|188291|0.29|mid_income|2023-07-23|generales
3891|0801507013|2|3891|579|3|4|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|6907.0|20866.0|0.35|283|48.88|188291|0.29|low_income|2023-07-23|generales
3892|0801507014|3|3892|703|5|5|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|9274.0|24540.0|0.43|307|43.67|188291|0.29|low_income|2023-07-23|generales
3893|0801507015|1|3893|273|0|6|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|6420.0|20129.0|0.37|160|58.61|188291|0.29|low_income|2023-07-23|generales
3894|0801507017|3|3894|0863|08|3|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|6990.0|21163.0|0.35|448|51.91|188291|0.29|low_income|2023-07-23|generales
3895|0801507018|3|3895|0863|08|4|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|12570.0|35545.0|0.35|369|42.76|188291|0.29|uppermid_income|2023-07-23|generales
3896|0801507020|1|3896|614|6|5|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|10668.0|18552.0|0.16|310|50.49|188291|0.29|low_income|2023-07-23|generales
3897|0801507021|0|3897|395|5|2|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|10365.0|26256.0|0|169|42.78|188291|0.29|mid_income|2023-07-23|generales
3898|0801507022|0|3898|371|2|1|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|11764.0|28555.0|0|144|38.81|188291|0.29|mid_income|2023-07-23|generales
3899|0801507023|2|3899|1108|4|08|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|14149.0|36901.0|0.18|372|33.57|188291|0.29|uppermid_income|2023-07-23|generales
3900|0801507024|4|3900|0819|2|6|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|11621.0|31222.0|0.49|335|40.9|188291|0.29|mid_income|2023-07-23|generales
3901|0801507028|4|3901|755|3|4|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|08741.0|24569.0|0.53|334|44.24|188291|0.29|low_income|2023-07-23|generales
3902|0801507029|4|3902|1124|11|7|08|08015|0801507|Cataluña|Barcelona|08|Badalona|08015|sección|12482.0|33729.0|0.36|548|48.75|188291|0.29|uppermid_income|2023-07-23|generales
