Municipio; Número de votos; Porcentaje
Vegas del Condado ;0 ;0 
Villablino ;6 ;0,12 
Villabraz ;0 ;0 
Villadangos del Páramo ;0 ;0 
Villademor de la Vega ;0 ;0 
Villafranca del Bierzo ;4 ;0,23 
Villagatón ;0 ;0 
Villamañán ;0 ;0 
Villamandos ;0 ;0 
Villamanín ;1 ;0,16 
Villamartín de Don Sancho ;0 ;0 
Villamejil ;0 ;0 
Villamol ;0 ;0 
Villamontán de la Valduerna ;0 ;0 
Villamoratiel de las Matas ;0 ;0 
Villanueva de las Manzanas ;0 ;0 
Villaobispo de Otero ;0 ;0 
Villaornate y Castro ;0 ;0 
Villaquejida ;0 ;0 
Villaquilambre ;17 ;0,15 
Villarejo de Órbigo ;2 ;0,11 
Villares de Órbigo ;1 ;0,25 
Villasabariego ;1 ;0,13 
Villaselán ;0 ;0 
Villaturiel ;0 ;0 
Villazala ;1 ;0,26 
Villazanzo de Valderaduey ;0 ;0 
Zotes del Páramo ;0 ;0 
