Municipio; Número de votos; Porcentaje
Santa Cristina de la Polvorosa ;1 ;0,14 
Santa Croya de Tera ;0 ;0 
Santa Eufemia del Barco ;0 ;0 
Santa María de la Vega ;0 ;0 
Santa María de Valverde ;0 ;0 
Santibáñez de Tera ;0 ;0 
Santibáñez de Vidriales ;0 ;0 
Santovenia ;0 ;0 
Sanzoles ;1 ;0,29 
Tábara ;2 ;0,37 
Tapioles ;0 ;0 
Toro ;5 ;0,10 
Torregamones ;0 ;0 
Torres del Carrizal ;0 ;0 
Trabazos ;0 ;0 
Trefacio ;1 ;0,84 
Uña de Quintana ;0 ;0 
Vadillo de la Guareña ;1 ;0,52 
Valcabado ;1 ;0,40 
Valdeﬁnjas ;0 ;0 
Valdescorriel ;0 ;0 
Vallesa de la Guareña ;0 ;0 
Vega de Tera ;1 ;0,48 
Vega de Villalobos ;0 ;0 
Vegalatrave ;0 ;0 
Venialbo ;0 ;0 
Vezdemarbán ;0 ;0 
Vidayanes ;0 ;0 
Videmala ;0 ;0 
Villabrázaro ;1 ;0,48 
Villabuena del Puente ;0 ;0 
Villadepera ;0 ;0 
Villaescusa ;0 ;0 
Villafáﬁla ;0 ;0 
Villaferrueña ;0 ;0 
Villageriz ;0 ;0 
Villalazán ;0 ;0 
Villalba de la Lampreana ;0 ;0 
Villalcampo ;0 ;0 
Villalobos ;0 ;0 
Villalonso ;0 ;0 
Villalpando ;0 ;0 
Villalube ;0 ;0 
Villamayor de Campos ;1 ;0,40 
Villamor de los Escuderos ;0 ;0 
Villanázar ;0 ;0 
Villanueva de Azoague ;1 ;0,47 
Villanueva de Campeán ;0 ;0 
Villanueva de las Peras ;0 ;0 
Villanueva del Campo ;0 ;0 
Villar de Fallaves ;0 ;0 
Villar del Buey ;0 ;0 
Villaralbo ;2 ;0,18 
Villardeciervos ;0 ;0 
Villardiegua de la Ribera ;0 ;0 
Villárdiga ;1 ;2,27 
Villardondiego ;0 ;0 
Villarrín de Campos ;0 ;0 
Villaseco del Pan ;0 ;0 
Villavendimio ;0 ;0 
Villaveza de Valverde ;0 ;0 
Villaveza del Agua ;0 ;0 
Viñas ;0 ;0 
Zamora ;37 ;0,10 
