Municipio; Número de votos; Porcentaje
Torreadrada ;0 ;0 
Torrecaballeros ;5 ;0,58 
Torrecilla del Pinar ;1 ;1,03 
Torreiglesias ;0 ;0 
Trescasas ;7 ;1,04 
Turégano ;2 ;0,36 
Urueñas ;0 ;0 
Valdeprados ;0 ;0 
Valdevacas de Montejo ;0 ;0 
Valdevacas y Guijar ;0 ;0 
Valle de Tabladillo ;0 ;0 
Vallelado ;2 ;0,50 
Valleruela de Pedraza ;0 ;0 
Valleruela de Sepúlveda ;0 ;0 
Valseca ;0 ;0 
Valtiendas ;0 ;0 
Valverde del Majano ;0 ;0 
Veganzones ;0 ;0 
Vegas de Matute ;0 ;0 
Ventosilla y Tejadilla ;0 ;0 
Villacastín ;0 ;0 
Villaverde de Íscar ;0 ;0 
Villaverde de Montejo ;0 ;0 
Villeguillo ;0 ;0 
Yanguas de Eresma ;0 ;0 
Zarzuela del Monte ;1 ;0,33 
Zarzuela del Pinar ;1 ;0,35 
