Municipio; Número de votos; Porcentaje
Ochagavía/Otsagabia ;0 ;0 
Oco ;0 ;0 
Odieta ;1 ;0,51 
Oiz ;0 ;0 
Olaibar ;1 ;0,46 
Olazti/Olazagutía ;0 ;0 
Olejua ;0 ;0 
Olite/Erriberri ;13 ;0,59 
Olóriz/Oloritz ;0 ;0 
Orbaizeta ;0 ;0 
Orbara ;0 ;0 
Orísoain ;0 ;0 
Orkoien ;5 ;0,26 
Oronz/Orontze ;0 ;0 
Oroz-Betelu/Orotz-Betelu ;1 ;1,05 
Orreaga/Roncesvalles ;0 ;0 
Oteiza ;1 ;0,20 
Pamplona/Iruña ;191 ;0,17 
Peralta/Azkoien ;6 ;0,21 
Petilla de Aragón ;0 ;0 
Piedramillera ;1 ;2,85 
Pitillas ;0 ;0 
Puente la Reina/Gares ;6 ;0,41 
Pueyo / Puiu ;0 ;0 
Ribaforada ;4 ;0,20 
Romanzado / Erromantzatua ;3 ;2,83 
Roncal/Erronkari ;0 ;0 
Sada ;0 ;0 
Saldías ;0 ;0 
Salinas de Oro/Jaitz ;0 ;0 
San Adrián ;11 ;0,33 
San Martín de Unx ;1 ;0,44 
Sangüesa/Zangoza ;3 ;0,11 
Sansol ;0 ;0 
Santacara ;2 ;0,38 
Sarriés/Sartze ;0 ;0 
Sartaguda ;0 ;0 
Sesma ;0 ;0 
Sorlada ;0 ;0 
Sunbilla ;1 ;0,26 
Tafalla ;9 ;0,16 
Tiebas-Muruarte de Reta ;1 ;0,29 
Tirapu ;0 ;0 
Torralba del Río ;0 ;0 
Torres del Río ;0 ;0 
Tudela ;41 ;0,22 
Tulebras ;0 ;0 
Ucar ;0 ;0 
Uharte Arakil ;1 ;0,27 
Ujué/Uxue ;1 ;1,01 
Ultzama ;4 ;0,50 
Unciti ;2 ;1,48 
Unzué/Untzue ;0 ;0 
Urdazubi/Urdax ;0 ;0 
Urdiain ;0 ;0 
Urraul Alto ;0 ;0 
Urraul Bajo ;0 ;0 
Urroz ;1 ;1,42 
Urroz-Villa ;0 ;0 
Urzainqui/Urzainki ;0 ;0 
Uterga ;0 ;0 
Uztárroz/Uztarroze ;0 ;0 
Valle de Egüés/Eguesibar ;32 ;0,31 
Valle de Ollo/Ollaran ;0 ;0 
Valle de Yerri/Deierri ;1 ;0,11 
Valtierra ;1 ;0,07 
Viana ;0 ;0 
Vidángoz/Bidankoze ;0 ;0 
Villafranca ;2 ;0,15 
Villamayor de Monjardín ;0 ;0 
Villatuerta ;0 ;0 
Villava/Atarrabia ;12 ;0,21 
Yesa ;0 ;0 
Zabalza/Zabaltza ;2 ;1,07 
Ziordia ;0 ;0 
Zizur Mayor/Zizur Nagusia ;17 ;0,19 
Zubieta ;0 ;0 
Zugarramurdi ;0 ;0 
Zúñiga ;0 ;0 
