Municipio; Número de votos; Porcentaje
Pinseque ;7 ;0,33 
Plasencia de Jalón ;0 ;0 
Pleitas ;0 ;0 
Plenas ;0 ;0 
Pomer ;0 ;0 
Pozuel de Ariza ;0 ;0 
Pozuelo de Aragón ;0 ;0 
Pradilla de Ebro ;0 ;0 
Puebla de Albortón ;0 ;0 
Puendeluna ;0 ;0 
Purujosa ;0 ;0 
Quinto ;0 ;0 
Remolinos ;3 ;0,43 
Retascón ;0 ;0 
Ricla ;4 ;0,40 
Romanos ;0 ;0 
Rueda de Jalón ;0 ;0 
Ruesca ;0 ;0 
Sabiñán ;0 ;0 
Sádaba ;0 ;0 
Salillas de Jalón ;0 ;0 
Salvatierra de Esca ;0 ;0 
Samper del Salz ;0 ;0 
San Martín de la Virgen de Moncayo ;0 ;0 
San Mateo de Gállego ;6 ;0,31 
Santa Cruz de Grío ;0 ;0 
Santa Cruz de Moncayo ;0 ;0 
Santa Eulalia de Gállego ;0 ;0 
Santed ;0 ;0 
Sástago ;2 ;0,30 
Sediles ;1 ;1,33 
Sestrica ;0 ;0 
Sierra de Luna ;0 ;0 
Sigüés ;0 ;0 
Sisamón ;0 ;0 
Sobradiel ;2 ;0,30 
Sos del Rey Católico ;0 ;0 
Tabuenca ;0 ;0 
Talamantes ;1 ;1,61 
Tarazona ;21 ;0,36 
Tauste ;10 ;0,29 
Terrer ;0 ;0 
Tierga ;0 ;0 
Tobed ;0 ;0 
Torralba de los Frailes ;1 ;2 
Torralba de Ribota ;0 ;0 
Torralbilla ;0 ;0 
Torrehermosa ;0 ;0 
Torrelapaja ;0 ;0 
Torrellas ;0 ;0 
Torres de Berrellén ;0 ;0 
Torrijo de la Cañada ;0 ;0 
Tosos ;0 ;0 
Trasmoz ;0 ;0 
Trasobares ;1 ;1,20 
Uncastillo ;0 ;0 
Undués de Lerda ;0 ;0 
Urrea de Jalón ;1 ;0,54 
Urriés ;0 ;0 
Used ;0 ;0 
Utebo ;24 ;0,24 
Val de San Martín ;0 ;0 
Valdehorna ;0 ;0 
Valmadrid ;0 ;0 
Valpalmas ;0 ;0 
Valtorres ;0 ;0 
Velilla de Ebro ;0 ;0 
Velilla de Jiloca ;0 ;0 
Vera de Moncayo ;0 ;0 
Vierlas ;0 ;0 
Villadoz ;0 ;0 
Villafeliche ;1 ;0,91 
Villafranca de Ebro ;2 ;0,42 
Villalba de Perejil ;0 ;0 
Villalengua ;0 ;0 
Villamayor de Gállego ;6 ;0,34 
Villanueva de Gállego ;3 ;0,11 
Villanueva de Huerva ;1 ;0,40 
Villanueva de Jiloca ;0 ;0 
Villar de los Navarros ;0 ;0 
Villarreal de Huerva ;1 ;0,91 
Villarroya de la Sierra ;0 ;0 
Villarroya del Campo ;0 ;0 
Vistabella ;0 ;0 
Zaragoza ;726 ;0,20 
Zuera ;8 ;0,18 
