Municipio; Número de votos; Porcentaje
Rellinars ;2 ;0,40 
Ripollet ;46 ;0,25 
Roda de Ter ;2 ;0,07 
Rubí ;86 ;0,23 
Rubió ;0 ;0 
Rupit i Pruit ;0 ;0 
Sabadell ;280 ;0,27 
Sagàs ;0 ;0 
Saldes ;0 ;0 
Sallent ;5 ;0,14 
Sant Adrià de Besòs ;45 ;0,30 
Sant Agustí de Lluçanès ;0 ;0 
Sant Andreu de la Barca ;32 ;0,24 
Sant Andreu de Llavaneres ;5 ;0,08 
Sant Antoni de Vilamajor ;7 ;0,20 
Sant Bartomeu del Grau ;2 ;0,47 
Sant Boi de Llobregat ;128 ;0,31 
Sant Boi de Lluçanès ;0 ;0 
Sant Cebrià de Vallalta ;3 ;0,18 
Sant Celoni ;14 ;0,16 
Sant Climent de Llobregat ;2 ;0,08 
Sant Cugat del Vallès ;41 ;0,08 
Sant Cugat Sesgarrigues ;0 ;0 
Sant Esteve de Palautordera ;1 ;0,06 
Sant Esteve Sesrovires ;9 ;0,21 
Sant Feliu de Codines ;8 ;0,28 
Sant Feliu de Llobregat ;55 ;0,22 
Sant Feliu Sasserra ;0 ;0 
Sant Fost de Campsentelles ;9 ;0,18 
Sant Fruitós de Bages ;8 ;0,18 
Sant Hipòlit de Voltregà ;2 ;0,11 
Sant Iscle de Vallalta ;0 ;0 
Sant Jaume de Frontanyà ;0 ;0 
Sant Joan de Vilatorrada ;10 ;0,18 
Sant Joan Despí ;46 ;0,24 
Sant Julià de Cerdanyola ;0 ;0 
Sant Julià de Vilatorta ;0 ;0 
Sant Just Desvern ;18 ;0,17 
Sant Llorenç d'Hortons ;3 ;0,21 
Sant Llorenç Savall ;4 ;0,32 
Sant Martí d'Albars ;0 ;0 
Sant Martí de Centelles ;1 ;0,17 
Sant Martí de Tous ;0 ;0 
Sant Martí Sarroca ;2 ;0,12 
Sant Martí Sesgueioles ;1 ;0,52 
Sant Mateu de Bages ;0 ;0 
Sant Pere de Ribes ;24 ;0,17 
Sant Pere de Riudebitlles ;3 ;0,23 
Sant Pere de Torelló ;2 ;0,17 
Sant Pere de Vilamajor ;6 ;0,24 
Sant Pere Sallavinera ;1 ;1,05 
Sant Pol de Mar ;7 ;0,24 
Sant Quintí de Mediona ;5 ;0,46 
Sant Quirze de Besora ;3 ;0,28 
Sant Quirze del Vallès ;15 ;0,13 
Sant Quirze Safaja ;0 ;0 
Sant Sadurní d'Anoia ;8 ;0,12 
Sant Sadurní d'Osormort ;0 ;0 
Sant Salvador de Guardiola ;9 ;0,52 
Sant Vicenç de Castellet ;10 ;0,22 
Sant Vicenç de Montalt ;1 ;0,03 
Sant Vicenç de Torelló ;0 ;0 
Sant Vicenç dels Horts ;32 ;0,23 
Santa Cecília de Voltregà ;1 ;1,02 
Santa Coloma de Cervelló ;7 ;0,15 
Santa Coloma de Gramenet ;160 ;0,33 
Santa Eugènia de Berga ;0 ;0 
Santa Eulàlia de Riuprimer ;3 ;0,42 
Santa Eulàlia de Ronçana ;14 ;0,36 
Santa Fe del Penedès ;0 ;0 
Santa Margarida de Montbui ;17 ;0,38 
Santa Margarida i els Monjos ;10 ;0,29 
Santa Maria d'Oló ;2 ;0,34 
Santa Maria de Besora ;1 ;1,07 
Santa Maria de Martorelles ;1 ;0,19 
Santa Maria de Merlès ;1 ;1,13 
Santa Maria de Miralles ;0 ;0 
Santa Maria de Palautordera ;9 ;0,18 
Santa Perpètua de Mogoda ;40 ;0,31 
Santa Susanna ;2 ;0,11 
Santpedor ;5 ;0,12 
Sentmenat ;14 ;0,29 
Seva ;1 ;0,05 
Sitges ;20 ;0,15 
Sobremunt ;0 ;0 
Sora ;0 ;0 
Subirats ;5 ;0,28 
Súria ;6 ;0,20 
Tagamanent ;0 ;0 
Talamanca ;0 ;0 
Taradell ;1 ;0,03 
Tavèrnoles ;0 ;0 
Tavertet ;0 ;0 
Teià ;3 ;0,08 
Terrassa ;316 ;0,30 
Tiana ;9 ;0,17 
Tona ;3 ;0,07 
Tordera ;25 ;0,32 
Torelló ;11 ;0,17 
Torrelavit ;0 ;0 
Torrelles de Foix ;2 ;0,18 
Torrelles de Llobregat ;7 ;0,22 
Ullastrell ;0 ;0 
Vacarisses ;8 ;0,22 
Vallbona d'Anoia ;2 ;0,27 
Vallcebre ;0 ;0 
Vallgorguina ;3 ;0,19 
Vallirana ;12 ;0,15 
Vallromanes ;2 ;0,14 
Veciana ;0 ;0 
Vic ;23 ;0,13 
Vilada ;0 ;0 
Viladecans ;158 ;0,47 
Viladecavalls ;23 ;0,53 
Vilafranca del Penedès ;39 ;0,21 
Vilalba Sasserra ;1 ;0,29 
Vilanova de Sau ;0 ;0 
Vilanova del Camí ;15 ;0,24 
Vilanova del Vallès ;4 ;0,13 
Vilanova i la Geltrú ;74 ;0,22 
Vilassar de Dalt ;7 ;0,14 
Vilassar de Mar ;15 ;0,13 
Vilobí del Penedès ;0 ;0 
Viver i Serrateix ;0 ;0 
