Municipio; Número de votos; Porcentaje
Torroella de Fluvià ;1 ;0,33 
Torroella de Montgrí ;8 ;0,18 
Tortellà ;2 ;0,48 
Toses ;0 ;0 
Tossa de Mar ;1 ;0,04 
Ullà ;2 ;0,47 
Ullastret ;0 ;0 
Ultramort ;0 ;0 
Urús ;0 ;0 
Vall-llobrega ;0 ;0 
Vallfogona de Ripollès ;0 ;0 
Ventalló ;0 ;0 
Verges ;0 ;0 
Vidrà ;0 ;0 
Vidreres ;10 ;0,29 
Vila-sacra ;1 ;0,29 
Vilabertran ;2 ;0,40 
Vilablareix ;4 ;0,21 
Viladamat ;0 ;0 
Viladasens ;0 ;0 
Vilademuls ;1 ;0,24 
Viladrau ;0 ;0 
Vilafant ;3 ;0,10 
Vilajuïga ;2 ;0,37 
Vilallonga de Ter ;1 ;0,56 
Vilamacolum ;0 ;0 
Vilamalla ;1 ;0,16 
Vilamaniscle ;0 ;0 
Vilanant ;1 ;0,48 
Vilaür ;0 ;0 
Vilobí d'Onyar ;12 ;0,74 
Vilopriu ;0 ;0 
