Municipio; Número de votos; Porcentaje
Malpartida ;0 ;0 
Mancera de Abajo ;0 ;0 
Martiago ;0 ;0 
Martín de Yeltes ;0 ;0 
Martinamor ;0 ;0 
Masueco ;0 ;0 
Matilla de los Caños del Río ;0 ;0 
Membribe de la Sierra ;0 ;0 
Mieza ;1 ;0,69 
Miranda de Azán ;1 ;0,42 
Miranda del Castañar ;0 ;0 
Mogarraz ;0 ;0 
Molinillo ;0 ;0 
Monforte de la Sierra ;0 ;0 
Monleón ;0 ;0 
Monleras ;0 ;0 
Monsagro ;1 ;1,07 
Montejo ;0 ;0 
Montemayor del Río ;1 ;0,54 
Monterrubio de Armuña ;0 ;0 
Monterrubio de la Sierra ;0 ;0 
Morasverdes ;0 ;0 
Morille ;0 ;0 
Moríñigo ;0 ;0 
Moriscos ;0 ;0 
Moronta ;0 ;0 
Mozárbez ;0 ;0 
Narros de Matalayegua ;0 ;0 
Nava de Béjar ;0 ;0 
Nava de Francia ;0 ;0 
Nava de Sotrobal ;0 ;0 
Navacarros ;0 ;0 
Navales ;0 ;0 
Navalmoral de Béjar ;0 ;0 
Navamorales ;0 ;0 
Navarredonda de la Rinconada ;0 ;0 
Navasfrías ;0 ;0 
Negrilla de Palencia ;0 ;0 
Olmedo de Camaces ;0 ;0 
Pajares de la Laguna ;1 ;1,16 
Palacios del Arzobispo ;0 ;0 
Palaciosrubios ;1 ;0,41 
Palencia de Negrilla ;0 ;0 
Parada de Arriba ;0 ;0 
Parada de Rubiales ;0 ;0 
Paradinas de San Juan ;0 ;0 
Pastores ;0 ;0 
Pedraza de Alba ;0 ;0 
Pedrosillo de Alba ;0 ;0 
Pedrosillo de los Aires ;0 ;0 
Pedrosillo el Ralo ;1 ;1,09 
Pelabravo ;1 ;0,13 
Pelarrodríguez ;0 ;0 
Pelayos ;0 ;0 
Peñacaballera ;0 ;0 
Peñaparda ;0 ;0 
Peñaranda de Bracamonte ;4 ;0,10 
Peñarandilla ;0 ;0 
Peralejos de Abajo ;0 ;0 
Peralejos de Arriba ;0 ;0 
Pereña de la Ribera ;0 ;0 
Peromingo ;1 ;1,19 
Pinedas ;0 ;0 
Pitiegua ;0 ;0 
Pizarral ;0 ;0 
Poveda de las Cintas ;0 ;0 
Pozos de Hinojo ;0 ;0 
Puebla de Azaba ;0 ;0 
Puebla de San Medel ;0 ;0 
Puebla de Yeltes ;0 ;0 
Puente del Congosto ;0 ;0 
Puertas ;0 ;0 
Puerto de Béjar ;0 ;0 
Puerto Seguro ;0 ;0 
Rágama ;0 ;0 
Retortillo ;0 ;0 
Robleda ;1 ;0,32 
Robliza de Cojos ;0 ;0 
Rollán ;1 ;0,39 
Saelices el Chico ;0 ;0 
Salamanca ;104 ;0,12 
Saldeana ;0 ;0 
Salmoral ;0 ;0 
Salvatierra de Tormes ;0 ;0 
San Cristóbal de la Cuesta ;0 ;0 
San Esteban de la Sierra ;0 ;0 
San Felices de los Gallegos ;0 ;0 
San Martín del Castañar ;0 ;0 
San Miguel de Valero ;0 ;0 
San Miguel del Robledo ;0 ;0 
San Morales ;0 ;0 
San Muñoz ;0 ;0 
San Pedro de Rozados ;0 ;0 
San Pedro del Valle ;0 ;0 
San Pelayo de Guareña ;0 ;0 
Sanchón de la Ribera ;0 ;0 
Sanchón de la Sagrada ;0 ;0 
Sanchotello ;0 ;0 
Sancti-Spíritus ;0 ;0 
Sando ;0 ;0 
Santa María de Sando ;0 ;0 
Santa Marta de Tormes ;23 ;0,26 
Santiago de la Puebla ;0 ;0 
Santibáñez de Béjar ;0 ;0 
Santibáñez de la Sierra ;0 ;0 
Santiz ;0 ;0 
Sardón de los Frailes ;0 ;0 
Saucelle ;0 ;0 
Sepulcro-Hilario ;0 ;0 
Sequeros ;0 ;0 
Serradilla del Arroyo ;0 ;0 
Serradilla del Llano ;0 ;0 
Sieteiglesias de Tormes ;0 ;0 
Sobradillo ;0 ;0 
Sorihuela ;1 ;0,49 
Sotoserrano ;0 ;0 
Tabera de Abajo ;0 ;0 
Tamames ;1 ;0,18 
Tarazona de Guareña ;0 ;0 
Tardáguila ;0 ;0 
Tejeda y Segoyuela ;0 ;0 
Tenebrón ;0 ;0 
Terradillos ;4 ;0,25 
Topas ;2 ;0,56 
Tordillos ;0 ;0 
Torresmenudas ;0 ;0 
Trabanca ;1 ;0,96 
Tremedal de Tormes ;0 ;0 
Valdecarros ;0 ;0 
Valdefuentes de Sangusín ;1 ;0,86 
Valdehijaderos ;0 ;0 
Valdelacasa ;0 ;0 
Valdelageve ;0 ;0 
Valdelosa ;0 ;0 
Valdemierque ;0 ;0 
Valderrodrigo ;0 ;0 
Valdunciel ;0 ;0 
Valero ;0 ;0 
Vallejera de Riofrío ;0 ;0 
Valsalabroso ;0 ;0 
Valverde de Valdelacasa ;0 ;0 
Valverdón ;0 ;0 
Vecinos ;0 ;0 
Vega de Tirados ;0 ;0 
Ventosa del Río Almar ;0 ;0 
Villaﬂores ;0 ;0 
Villagonzalo de Tormes ;1 ;0,67 
Villalba de los Llanos ;0 ;0 
Villamayor ;5 ;0,11 
Villanueva del Conde ;2 ;1,68 
Villar de Argañán ;0 ;0 
Villar de Ciervo ;0 ;0 
Villar de Gallimazo ;0 ;0 
Villar de la Yegua ;0 ;0 
Villar de Peralonso ;0 ;0 
Villar de Samaniego ;9 ;16,66 
Villares de la Reina ;9 ;0,24 
Villares de Yeltes ;0 ;0 
Villarino de los Aires ;3 ;0,56 
Villarmayor ;0 ;0 
Villarmuerto ;0 ;0 
Villasbuenas ;0 ;0 
Villasdardo ;0 ;0 
Villaseco de los Gamitos ;0 ;0 
Villaseco de los Reyes ;0 ;0 
Villasrubias ;0 ;0 
Villaverde de Guareña ;0 ;0 
Villavieja de Yeltes ;0 ;0 
Villoria ;0 ;0 
Villoruela ;0 ;0 
Vilvestre ;0 ;0 
Vitigudino ;2 ;0,13 
Yecla de Yeltes ;0 ;0 
Zamarra ;0 ;0 
Zamayón ;0 ;0 
Zarapicos ;0 ;0 
Zorita de la Frontera ;0 ;0 
