id|pais|poblacion|votos|votosTotales|porcentajeDeVoto|partidoGanador|comunidad|provincia
0000000000000000002c56be|España|Genalguacil|0|200|0.00|PSOE|Andalucía|Málaga
0000000000000000002c5722|España|Guaro|1|997|0.10|PSOE|Andalucía|Málaga
0000000000000000002c5786|España|Humilladero|6|1971|0.30|PSOE|Andalucía|Málaga
0000000000000000002c57ea|España|Igualeja|1|500|0.20|PP|Andalucía|Málaga
0000000000000000002c584e|España|Istán|20|784|2.55|SUMAR|Andalucía|Málaga
0000000000000000002c58b2|España|Iznate|0|565|0.00|PSOE|Andalucía|Málaga
0000000000000000002c5916|España|Jimera de Líbar|2|271|0.74|PP|Andalucía|Málaga
0000000000000000002c597a|España|Jubrique|0|333|0.00|PP|Andalucía|Málaga
0000000000000000002c59de|España|Júzcar|0|145|0.00|PP|Andalucía|Málaga
0000000000000000002c5a42|España|Macharaviaya|0|265|0.00|PSOE|Andalucía|Málaga
0000000000000000002c5aa6|España|Málaga|705|293724|0.24|PP|Andalucía|Málaga
0000000000000000002c5b0a|España|Manilva|13|5493|0.24|PP|Andalucía|Málaga
0000000000000000002c5b6e|España|Marbella|108|56223|0.19|PP|Andalucía|Málaga
0000000000000000002c5bd2|España|Mijas|63|30523|0.21|PP|Andalucía|Málaga
