0059;0016;CPE                                                    ;INICIATIVA DEL PUEBLO ANDALUZ -PARTIDO DE LA IZQUIERDA ANDALUCISTA: COMPROMISO POR EUROPA                                                                                                               ;
0060;0016;CPE                                                    ;MÉS PER MALLORCA: COMPROMÍS PER EUROPA                                                                                                                                                                  ;
0061;0016;CPE                                                    ;NUEVA CANARIAS: COMPROMISO POR EUROPA                                                                                                                                                                   ;
0017;0017;MIEL                                                   ;MOVIMIENTO INDEPENDIENTE EURO LATINO                                                                                                                                                                    ;
0018;0018;IZQP                                                   ;IZQUIERDA EN POSITIVO                                                                                                                                                                                   ;
0019;0019;PCPE-PCPC-PCPA                                         ;PCPE-PCPC-PCPA                                                                                                                                                                                          ;
0062;0019;PCPE-PCPC-PCPA                                         ;PCPA-PARTIDO COMUNISTA DEL PUEBLO ANDALUZ                                                                                                                                                               ;
0063;0019;PCPE-PCPC-PCPA                                         ;PCPC-PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                                                                               ;
0064;0019;PCPE-PCPC-PCPA                                         ;PCPC-PARTIT COMUNISTA DEL POBLE DE CATALUNYA                                                                                                                                                            ;
0065;0019;PCPE-PCPC-PCPA                                         ;PCPE-PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA                                                                                                                                                         ;
0066;0019;PCPE-PCPC-PCPA                                         ;PCPE-PARTIT COMUNISTA DELS POBLES D'ESPANYA                                                                                                                                                             ;
0020;0020;PODEMOS-IU                                             ;UNIDAS PODEMOS CAMBIAR EUROPA                                                                                                                                                                           ;
0067;0020;CeC-PODEMOS                                            ;UNIDES PODEM CANVIAR EUROPA                                                                                                                                                                             ;
0068;0020;PODEMOS-EU                                             ;UNIDAS PODEMOS CAMBIAR EUROPA                                                                                                                                                                           ;
0069;0020;PODEMOS-EUIB                                           ;UNIDAS PODEMOS CAMBIAR EUROPA /UNIDES PODEM CANVIAR EUROPA                                                                                                                                              ;
0070;0020;PODEMOS-EUPV                                           ;UNIDAS PODEMOS CAMBIAR EUROPA /UNIDES PODEM CANVIAR EUROPA                                                                                                                                              ;
0071;0020;Podemos-IU                                             ;ELKARREKIN PODEMOS -UNIDAS PODEMOS CAMBIAR EUROPA                                                                                                                                                       ;
0072;0020;Podemos-IU ANDALUCÍA                                   ;UNIDAS PODEMOS CAMBIAR EUROPA                                                                                                                                                                           ;
0073;0020;Podemos-IX                                             ;UNIDAS PODEMOS CAMBIAR EUROPA /XUNÍES PODEMOS CAMUDAR EUROPA                                                                                                                                            ;
0021;0021;PUM+J                                                  ;POR UN MUNDO MÁS JUSTO                                                                                                                                                                                  ;
0074;0021;PUM+J                                                  ;PER UN MÓN MÉS JUST                                                                                                                                                                                     ;
0075;0021;PUM+J                                                  ;POR UN MUNDO MÁIS XUSTO                                                                                                                                                                                 ;
0076;0021;PUM+J                                                  ;POR UN MUNDO MÁS JUSTO/BIDEZKO MUNDURANTZ                                                                                                                                                               ;
0022;0022;MCR                                                    ;MOVIMIENTO CORRIENTE ROJA                                                                                                                                                                               ;
0023;0023;Cs                                                     ;CIUDADANOS-PARTIDO DE LA CIUDADANÍA                                                                                                                                                                     ;
0024;0024;JUNTS                                                  ;LLIURES PER EUROPA                                                                                                                                                                                      ;
0077;0024;JxCAT-JUNTS                                            ;JUNTS PER CATALUNYA-LLIURES PER EUROPA                                                                                                                                                                  ;
0025;0025;VOX                                                    ;VOX                                                                                                                                                                                                     ;
0026;0026;IGRE                                                   ;IGUALDAD REAL                                                                                                                                                                                           ;
0027;0027;pirates.cat/ep                                         ;PIRATES DE CATALUNYA - EUROPEAN PIRATES                                                                                                                                                                 ;
0078;0027;pirates.cat/ep                                         ;PIRATAK - EUROPEAN PIRATES                                                                                                                                                                              ;
0079;0027;pirates.cat/ep                                         ;PIRATAS - EUROPEAN PIRATES                                                                                                                                                                              ;
0080;0027;pirates.cat/ep                                         ;PIRATAS/IQURSANEN-EUROPEAN PIRATES                                                                                                                                                                      ;
0081;0027;pirates.cat/ep                                         ;PIRATES - EUROPEAN PIRATES                                                                                                                                                                              ;
0028;0028;VOLT                                                   ;VOLT EUROPA                                                                                                                                                                                             ;
0029;0029;CV-EC                                                  ;COALICIÓN VERDE-EUROPA CIUDADANA                                                                                                                                                                        ;
0030;0030;PP                                                     ;PARTIDO POPULAR                                                                                                                                                                                         ;
0031;0031;RECORTES CERO-LV-GVE                                   ;RECORTES CERO-LOS VERDES-GRUPO VERDE EUROPEO                                                                                                                                                            ;
0032;0032;CEX-CREX-PREX                                          ;EXTREMEÑOS PREX CREX                                                                                                                                                                                    ;
