0050;0050;PH                                                     ;PARTIDO HUMANISTA                                                                                                                                                                                       ;
0051;0051;VOLT                                                   ;VOLT ESPAÑA                                                                                                                                                                                             ;
0052;0052;RECORTES CERO                                          ;RECORTES CERO                                                                                                                                                                                           ;
0060;0060;JUNTS UE                                               ;JUNTS I LLIURES PER EUROPA                                                                                                                                                                              ;
0063;0063;EXTREMEÑOS                                             ;EXTREMEÑOS PREX CREX                                                                                                                                                                                    ;
0064;0064;GLG                                                    ;PARTIDO GALEGO                                                                                                                                                                                          ;
0065;0065;PIRATAS / REBELDES                                     ;PIRATAS - ALIANZA REBELDE - EUROPEAN PIRATES                                                                                                                                                            ;
0066;0065;PIRATAS / REBELDES                                     ;PIRATES - ALIANZA REBALBA - EUROPEAN PIRATES                                                                                                                                                            ;
0067;0065;PIRATES / REBELS                                       ;PIRATES - ALIANÇA REBEL - EUROPEAN PIRATES                                                                                                                                                              ;
0068;0065;PIRATES.CAT / REBELS                                   ;PIRATES DE CATALUNYA - EUROPEAN PIRATES - ALIANÇA REBEL                                                                                                                                                 ;
0069;0065;PIRATAS / REBELDES                                     ;PIRATAK - ALIANTZA ERREBELDEA - EUROPEAN PIRATES                                                                                                                                                        ;
0070;0070;PREPAL                                                 ;SALAMANCA-ZAMORA-LEÓN PREPAL                                                                                                                                                                            ;
0044;0072;EXISTE                                                 ;LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                                                                                                ;
0045;0072;EXISTE                                                 ;ARAGÓN TERUEL EXISTE - LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                                                                         ;
0072;0072;EXISTE                                                 ;LA ESPAÑA OLVIDADA EXISTE - MUNICIPALISTAS - MUNDO JUSTO                                                                                                                                                ;
